Sourcing Window Business Requirements ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Phase Estimate,PROCESS,REQUIREMENT ,DETAILS/CONTEXT,NEW FUNCTIONALITY?,,Jake Notes,,,,,,,,,,,
,,MUST HAVE, , , , , , , , , , , , , , , , 
SW-M-1,Phase 1 - Let's talk about it,,Ability to full manage suppliers while still agnostic to Block ,"Assigning vendors capabilities, tracking DOA rates, etc for Block Imaging","Yes/No (currently exists in Block system, needs to integrate into new system)",,,,,,,,,,,,,
SW-M-2,Phase 1,Sourcing and Vendor Management,Ability for vendors to have multiple 'capabilities' ,These are buckets we put them in to route requests to,No,,,,,,,,,,,,,
SW-M-3,Phase 2 - Internal - synced with SF?,,Must be able to rank each vendor within a capability with a tier,Tiers 1-3 (+) based on vendor KPI,No,,,,,,,,,,,,,
SW-M-4,Phase 2 - Internal - synced with SF?,,Must be able to manage Customer Concession Vendors,"If not approved, or actively listed as customer concession by Block, teams need to still have visablity into capabilities ",No,,,,,,,,,,,,,
SW-M-5,Phase 2 - Internal - synced with SF?,,Must be able to record vendor warehouse locations and shipping cut off times on Vendor Account,"There may be multiple, differing, options per supplier",Yes,,,,,,,,,,,,,
SW-M-6,Phase 2 - Internal - synced with SF?,,"On Capability record, we must be able to include 'notes' visable to internal (Block) users only",,No,,,,,,,,,,,,,
SW-M-7,Phase 1,,Ability for vendors to be connected to multiple customers,,No,,,,,,,,,,,,,
SW-M-8,Phase 1,Users,Must be able to have multiple users under 1 account,,No,,,,,,,,,,,,,
SW-M-9,Phase 1,Homepage,User must be able to see who is logged in from homepage,,No,,,,,,,,,,,,,
SW-M-10,Phase 1,,Homepage must default to Open Requests,Requests that have not yet been responded to,No,,,,,,,,,,,,,
SW-M-11,Phase 1,,Requests must order by oldest on top,,No,,,,,,,,,,,,,
SW-M-12,Phase 1,,"Requests (SRCs) must display with Time Open, SRC #, Requesting Customer, Material, Qty Requested and any notes customer put in at time of submission",,No,,,,,,,,,,,,,
SW-M-13,Phase 1,,"When responding from homepage view, user must be able to press 'unavailable' button without drilling into SRC",,No,"**VIKKI: Do we really need the ability to select all / multiple and do a mass removal?  IF so, we'll make that a requirement. ",,,,,,,,,,,,
